name,1,2,3,4,5,6,7,8,9,10,11,12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,V,,
hyw+C31_NH3+C32_NH3+C32_COOH+L42_NH3+L37_NH2_NH3,7.744352929,650,18.5171,11.90525,19.05166,0.356309,1982.62,5564.32,2.22125,0.79145,0.193172,1.64397,,459176.4772,3.753900495,,10.48536608,6.389477648,1.002266345,41732.8,0.85150663,
qzd+C35_NH3+L38_CF3_NH3,7.696772062,59,9.45247,7.22176,9.45247,0.521855,2829.92,5422.81,1.3795,0.7199,0.186127,1.07543,,87131.66619,3.450901228,,12.78345049,5.888941894,0.924127977,5445.96,1.256792384,
sxc+C36_COOH+L75_CN_NH3,7.224264114,209,14.59376,12.24667,14.59376,0.408862,2022.14,4945.77,1.96773,0.80453,0.233961,1.96133,,172796.2268,3.504422887,,10.18847922,5.948087768,0.948619651,16941.9,0.909756028,
snk+C36_COOH+L4_OH_COOH,7.021635157,917,18.88191,14.29872,18.88191,0.311753,1523.17,4885.83,2.76315,0.86142,0.194178,1.43755,,435440.0332,3.406836115,,9.63174881,6.072845098,0.923527528,53732.8,0.69887648,
whm+C36_COOH+L44_NO2_F,7.017983599,842,25.92936,23.96644,26.39143,0.362512,1470.31,4055.9,2.22387,0.80618,0.11875,0.610498,,448790.2258,3.826234852,,9.956523049,6.740377284,1.060460737,71063.9,0.797093397,
wky+C36_COOH+L32_NO2_F,6.987450019,848,10.2273,8.98242,10.47757,0.567603,2367.43,4170.93,1.32829,0.75394,0.249214,1.63263,,1139508.794,6.017429021,,13.38363573,10.82013758,1.662166271,39203.3,1.531327479,
who+C36_COOH+L39_OH_F,6.940654376,546,15.19206,10.09648,17.00449,0.496399,2074.75,4179.59,1.51815,0.75361,0.209827,1.50343,,562327.4886,4.920178058,,11.65568111,8.584289667,1.358739691,48208.5,1.15471772,
wgw+C36_COOH+L39_Cl_F,6.843042562,248,13.51809,10.99224,14.21068,0.521092,2112.32,4053.64,1.45815,0.75983,0.196274,1.34827,,272976.8373,4.501615274,,11.28502234,7.948736082,1.247729615,24372.8,1.170330168,
umd+C35_COOH+L6_NH2_COOH,6.763653794,1528,26.76169,23.10733,26.96483,0.202689,957.392,4723.46,4.48954,0.90998,0.134982,1.43643,,296512.7198,2.371318981,,8.728908584,5.077838501,0.645386779,92341.5,0.427147819,
cot+C36_COOH+C27_COOH+C32_COOH+L25_NH2_COOH+L40_COOH_NH3,6.376899204,775,21.96189,13.28629,22.98405,0.286374,1597.68,5578.99,2.95502,0.84624,0.150959,1.09128,,354588.8595,3.099978339,,9.187659871,5.586848485,0.827420886,72146.2,0.585464762,
wfa+C35_COOH+L30_CF3_NH3,6.33684932,900,24.25396,21.99479,24.25396,0.359498,1598.22,4445.71,2.33723,0.84023,0.189348,1.32406,,517101.2042,3.874274987,,10.28594902,6.759960263,1.062044274,43039.9,0.863988604,
wix+C30_COOH+L26_F_COOH,6.322953363,819,39.99837,36.14612,39.99837,0.148762,687.577,4621.98,6.25044,0.92983,0.114806,0.75848,,83771.685,1.588284954,,6.44110722,4.103409022,0.43338594,73901.1,0.278956229,
mdf+C32_NH3+L1_CN_F,6.286101593,155,12.20163,10.16601,12.90368,0.374179,2481.93,6633.01,2.10052,0.78597,0.171166,1.1016,,143946.3432,3.132182805,,10.6952534,5.184285238,0.819576124,16846.2,0.791613863,
omy+C32_NH3+C31_NH3+L2_CF3_COOH+L30_CN_NH3,6.242344765,1285,25.43734,19.41545,26.04129,0.136192,867.341,6368.51,6.79899,0.92597,0.0988031,0.906186,,151790.5035,1.610659043,,6.65778575,4.254016693,0.423407735,127412,0.250428256,
qzd+C32_COOH+L73_F_COOH,6.188388002,125,12.51624,9.65261,12.95218,0.408735,2099.32,5136.14,1.94649,0.7956,0.188092,1.19422,,107258.195,3.180314542,,10.17763493,5.37421199,0.857080514,12589.5,0.871244409,
sab+C30_COOH+C36_COOH+L31_COOH,5.967122531,2283,20.89128,18.07195,21.70957,0.261276,1236.83,4733.8,3.4031,0.88915,0.143354,0.805214,,737760.5708,3.224985631,,11.29126117,6.129458614,0.877496991,86627.1,0.622908001,
smw+C24_NH3+L25_COOH_F,5.921347903,918,53.00537,50.65138,53.00537,0.169739,923.44,5440.36,5.37496,0.91234,0.0506056,0.0762859,,143890.792,1.878684323,,7.13158891,4.379732563,0.502909954,113331,0.299065399,
sta+C24_NH3+C36_COOH+L72_COOH_NH3+L74_OH_F,5.846138006,380,23.05261,18.56517,23.06873,0.298109,1550.37,5200.7,2.85107,0.84993,0.155603,0.935985,,175628.1151,2.857862257,,8.495843829,5.124981205,0.769056708,44002.4,0.573565896,
fsc+C62_NH3+C36_COOH+L72_SH_NH3+L6_NO2_COOH,5.743065806,140,17.08601,14.23552,17.14097,0.320121,1883.16,5882.65,2.62513,0.84036,0.175683,1.11792,,84397.46873,2.58977451,,8.817829975,4.485146446,0.687020653,13347.8,0.655086337,
cds+C31_COOH+L39_OH_NH3,5.606073093,8,11.60503,10.07471,11.6173,0.383525,2235.25,5828.18,2.14137,0.82127,0.188424,1.04008,,6858.19405,1.304220909,,9.977567577,2.184017063,0.346357587,5096.67,0.4178504,
vbm+C36_COOH+L42_CH3_F,5.516313467,590,14.37585,11.58802,14.60526,0.425976,2246.86,5274.63,1.81236,0.77202,0.154019,0.810118,,564693.9769,4.393364473,,11.60990972,7.389062349,1.180316457,55809.5,0.950759255,
jxj+C28_COOH+C36_COOH+L39_SH_NH3,5.454238744,650,20.15376,12.43142,20.15376,0.303053,1666.62,5499.44,2.80202,0.84916,0.162605,0.892397,,328298.2241,3.188478732,,9.251026481,5.65209373,0.852461831,42759.2,0.671249686,
snp+C13_NH3+L74_OH_F,5.44999079,124,15.72723,12.80065,15.72723,0.296359,1646.59,5556.07,2.87499,0.85203,0.120957,0.935678,,60509.73896,2.323270203,,8.044946896,4.142053638,0.620404357,40895,0.410686755,
nia+C13_NH3+C36_COOH+L24_NH2_COOH,5.360289353,631,19.13651,15.14871,19.97338,0.27887,1463.31,5247.28,3.11637,0.86906,0.151243,0.815815,,257494.2269,2.904689028,,8.566740003,5.321481848,0.780844187,27227.1,0.662309985,
pcu-h+C68_NH3+L39_COOH_COOH,5.359805777,894,39.25265,39.18724,39.25265,0.290159,1052.57,3627.57,2.80567,0.81409,0.125988,0.699814,,273038.9168,3.048302418,,8.804943869,5.756756749,0.856357143,83721.5,0.615707255,
mok+C32_NH3+L39_NH2_F,5.334988004,235,14.87336,10.99475,15.85299,0.338982,2076.57,6125.89,2.39794,0.81286,0.141439,0.775912,,165421.1652,3.043934688,,9.600689894,5.175186248,0.803749326,22208,0.718752442,
vbo+C36_COOH+L4_CF3_NH3,5.300183529,598,21.08742,18.30397,21.11971,0.290603,1388.06,4776.5,2.94815,0.85674,0.140383,0.740266,,241217.8913,2.968738782,,8.553326218,5.421658334,0.806917694,56822,0.58380922,
cdz+C31_COOH+C35_NH3+L40_SH_COOH+L24_Cl_COOH+L18_Cl_COOH,5.299901106,110,20.37487,16.05069,20.3779,0.28461,1601.85,5628.25,3.03858,0.86481,0.133206,0.736567,,50149.27814,2.17896983,,7.829962763,3.93130333,0.581000772,16743.5,0.499087366,
who+C36_COOH+L30_CH3_F,5.255425102,582,16.18484,10.88907,16.60329,0.412996,1995.61,4832.04,1.94569,0.80356,0.161559,0.840551,,479672.1475,4.2069165,,10.91536878,7.156143467,1.141902133,44416.9,0.933524708,
kew+C36_COOH+C24_NH3+C52_NH3+L74_F_NH3+L36_CF3_F,5.242316279,343,25.07494,21.73951,26.75332,0.150874,907.133,6012.51,6.11046,0.92191,0.058402,0.10564,,46943.935,1.445526507,,5.232489071,3.588412404,0.382509965,85861.5,0.21282604,
vbn+C36_COOH+L4_F_NH3,5.117332302,618,17.87704,15.9467,18.21103,0.276298,1482.49,5365.55,3.11617,0.86099,0.147136,0.759781,,253138.3756,2.876071639,,8.513379665,5.272979017,0.771144534,52550.9,0.567806469,
tsf+C19_NH3+C62_NH3+C31_NH3+C36_COOH+L14_F_COOH+L37_COOH_F+L49_CF3_F,5.116809685,178,30.7985,16.73792,30.99985,0.184443,1239.72,6721.43,4.89511,0.90287,0.124869,1.54802,,40701.06632,1.588680658,,5.79428013,3.441173575,0.415074216,69286.5,0.226499482,
crr+C35_COOH+L40_CN_COOH,5.074286993,967,33.48291,24.2411,33.48291,0.191051,888.252,4649.3,4.75031,0.90755,0.123129,0.663454,,164101.2856,2.09176313,,7.462691075,4.635081552,0.570368713,74522.8,0.381472001,
smm+C36_COOH+L71_CF3_NH3,5.063020763,878,27.27656,26.20589,28.48362,0.266639,1241.01,4654.25,3.28365,0.87555,0.118707,0.567803,,290531.6622,2.878713436,,8.671508855,5.438789257,0.784850434,65796.6,0.555558388,
wkh+C36_COOH+L71_CN_F,5.040263547,448,24.68215,20.71367,24.71613,0.235275,1190.98,5062.08,3.76287,0.88531,0.115808,0.610392,,125533.1031,2.310684252,,7.27994023,4.557537706,0.623779435,90013.4,0.37097738,
whm+C36_COOH+L32_CF3_F,4.889726211,924,25.70766,23.88007,26.62581,0.369013,1485.78,4026.36,2.26404,0.83546,0.103442,0.408139,,506603.4529,3.945113653,,10.20466414,6.936431673,1.094371511,65269.1,0.817094564,
bpi+C9_NH3+C7_NH3+L68_OH_COOH+L26_NH2_F+L6_NH3,4.887632163,461,37.30529,37.16758,37.31047,0.292092,1005.84,3443.57,2.79788,0.81724,0.122365,0.667912,,135440.7938,2.751954686,,7.876393482,5.218881809,0.778045731,54492,0.58127401,
smk+C36_COOH+L32_F_F,4.836145909,229,15.00541,13.90951,15.01066,0.414795,2099.09,5060.55,1.97688,0.82,0.144256,0.687778,,199388.4764,3.625846378,,10.45708576,6.133053129,0.978847959,18171,0.910235586,
msp+C31_COOH+L1_CN_F,4.749304697,137,11.27291,9.07744,11.27291,0.410938,2315.67,5635.07,1.95881,0.80495,0.16443,0.806095,,130368.7614,3.293513439,,10.697931,5.504092582,0.878059676,16367.7,0.82790155,
wiu+C36_COOH+L3_CF3_F,4.638046518,795,16.17382,12.52469,17.29371,0.402112,1869.02,4648.01,2.01292,0.80942,0.137845,0.632102,,597486.5193,4.277032447,,10.95981178,7.320908425,1.166272427,68624.4,0.875771029,
tsj+C18_NH3+C36_COOH+L24_CF3_NH3+L39_Br_F,4.616157016,106,18.65808,14.52609,18.96816,0.296214,1433.53,4839.51,2.94801,0.87324,0.12133,0.564488,,45010.95547,2.210600612,,7.700368434,4.005941662,0.599923952,16581.4,0.510397805,
nor+C31_NH3+C32_COOH+L25_OH_COOH+L38_Br_COOH,4.604117486,684,18.47961,13.32241,18.73033,0.326904,1518.26,4644.37,2.62469,0.85802,0.132032,0.594468,,339486.4827,3.398475426,,9.326070122,6.018186711,0.92679118,36571.1,0.750904638,
