name,Second Number,GLD,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,V
ben+C49_COOH+C24_NH3+L39_OH_NH3+L39_NO2_F,73,34.53185,30.44826,35.01071,0.130842,871.14,6657.98,7.11716,0.93122,0.0717828,0.191516,2.605473405,2.605473405,0.036949,0.0567252,,0.24380089,42661.2
ben+C38_NH3+C36_COOH+L34_COOH_COOH+L17_SH_COOH,628,16.81441,13.3348,19.03418,0.363705,1641.36,4512.89,2.22117,0.80785,0.312294,11.8775,13.25131298,13.25131298,0.52292,0.157847,,1.017631912,24269.9
ben+C58_NH3+C13_NH3+L8_Br_NH3+L16_Cl_COOH,55,60.47376,51.90355,60.52377,0.0411005,332.989,8101.82,23.743,0.97585,0.0480608,0.0650524,1.439189559,1.439189559,0.0144622,0.0401954,,0.071529777,276062
ben+C49_NH3+C13_NH3+L2_NH2_F+L49_CH3_COOH,142,51.90635,44.87884,51.90635,0.0646894,488.813,7556.3,14.8754,0.96228,0.0509778,0.077213,1.817334858,1.817334858,0.0204233,0.0449522,,0.139230242,161153
ben+C58_NH3+C36_COOH+L32_COOH_COOH+L23_F_NH3,259,36.73827,30.55992,36.73827,0.0970542,765.775,7890.18,9.7735,0.94856,0.0610822,0.112932,2.095850245,2.095850245,0.0273411,0.0521814,,0.234220878,60008.8
ben+C31_COOH+C24_NH3+L58_F+L25_CH3_COOH,121,25.17512,21.68478,27.34644,0.181981,1121.4,6162.16,4.95596,0.90189,0.0927555,0.480573,4.141582085,4.141582085,0.0747539,0.0721984,,0.379027364,33250.4
ben+C54_COOH+C36_COOH+L67_CF3_F+L13_NO2_NH3,183,45.31108,34.09133,45.35124,0.083074,522.316,6287.35,11.512,0.95635,0.0601534,0.119403,2.216759866,2.216759866,0.0276502,0.049893,,0.187950862,121051
ben+C32_NH3+C24_NH3+L36_Cl_NH3+L72_OH_NH3,193,31.6166,25.60298,32.00796,0.123993,787.998,6355.17,7.55356,0.93659,0.0739159,0.192323,2.674864435,2.674864435,0.0411889,0.061594,,0.283393107,47777
ben+C49_NH3+C36_COOH+L73_CH3_COOH+L35_Br_F,114,36.51011,33.68394,36.5295,0.140109,805.672,5750.3,6.65294,0.93214,0.0615237,0.124416,2.461860707,2.461860707,0.0339085,0.0550941,,0.288190882,41273.1
ben+C49_COOH+C36_COOH+L18_COOH_COOH+L37_OH_F,122,38.46682,34.41269,38.46682,0.154357,933.164,6045.5,5.93217,0.91567,0.0697054,0.168001,3.244324889,3.244324889,0.050504,0.0622675,,0.322044244,43344.8
ben+C49_COOH+C13_NH3+L68_NH2_F+L4_CN_COOH,106,51.19706,46.73127,51.44096,0.0699913,476.475,6807.64,13.7481,0.96225,0.0540669,0.0873983,1.916185943,1.916185943,0.0222222,0.0463884,,0.14175379,104614
ben+C31_COOH+C13_NH3+L73_NH3+L34_F_COOH,198,33.95498,27.76239,33.97652,0.12619,762.453,6042.08,7.41673,0.93592,0.076899,0.217938,2.915829211,2.915829211,0.0447988,0.061456,,0.28981618,49526
ben+C19_COOH+C36_COOH+L37_SH_F+L36_NH2_NH3,137,32.81983,25.6252,32.81983,0.126295,801.238,6344.19,7.41528,0.93651,0.0715084,0.181148,2.934287229,2.934287229,0.0452393,0.0616699,,0.269857124,50858.8
ben+C37_COOH+C24_NH3+L31_SH_F+L68_CN_NH3,151,23.4506,18.5168,23.46908,0.164103,1092.07,6654.79,5.58113,0.91588,0.169445,7.9436,11.44680664,11.44680664,0.254231,0.0888391,,0.357576654,26515
ben+C31_COOH+C24_NH3+L75_OH_COOH+L8_CH3_NH3,182,38.94272,29.69867,39.12457,0.0897565,586.133,6530.25,10.6079,0.95213,0.0647335,0.179219,3.161283586,3.161283586,0.0438979,0.0555444,,0.202856098,77092.5
ben+C19_COOH+C24_NH3+L43_Br_COOH+L4_SH_COOH,172,36.2561,30.10152,36.42234,0.112465,662.385,5889.71,8.419,0.94684,0.0696387,0.165124,2.704678981,2.704678981,0.0399475,0.0590791,,0.251418707,73040.4
